25-01-22 21:59:14.209 [main] INFO  c.e.journalApp.JournalApplication - Starting JournalApplication using Java 23.0.1 with PID 6384 (C:\Users\User\Downloads\SpringBoot\journalApp\target\classes started by User in C:\Users\User\Downloads\SpringBoot\journalApp)
25-01-22 21:59:14.228 [main] INFO  c.e.journalApp.JournalApplication - The following 1 profile is active: "dev"
25-01-22 21:59:15.965 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
25-01-22 21:59:16.105 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 124 ms. Found 2 MongoDB repository interfaces.
25-01-22 21:59:17.236 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
25-01-22 21:59:17.264 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
25-01-22 21:59:17.267 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
25-01-22 21:59:17.268 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
25-01-22 21:59:17.406 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
25-01-22 21:59:17.407 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2961 ms
25-01-22 21:59:17.960 [cluster-ClusterId{value='67911cdd5b8e7157c8265d89', description='Cluster0'}-srv-cluster0.kmbdk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.kmbdk.mongodb.net:27017 to client view of cluster
