26-03-21 18:36:27.563 [main] INFO  com.journalApp.JournalApplication - Starting JournalApplication using Java 23.0.1 with PID 15552 (C:\Users\User\Downloads\SpringBoot\journalApp\target\classes started by User in C:\Users\User\Downloads\SpringBoot\journalApp)
26-03-21 18:36:27.685 [main] INFO  com.journalApp.JournalApplication - No active profile set, falling back to 1 default profile: "default"
26-03-21 18:36:30.832 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
26-03-21 18:36:30.841 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
26-03-21 18:36:31.168 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 318 ms. Found 3 MongoDB repository interfaces.
26-03-21 18:36:31.252 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
26-03-21 18:36:31.261 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
26-03-21 18:36:31.325 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.journalApp.repository.ConfigJournalAppRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
26-03-21 18:36:31.326 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.journalApp.repository.JournalEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
26-03-21 18:36:31.327 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.journalApp.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
26-03-21 18:36:31.328 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 0 Redis repository interfaces.
26-03-21 18:36:33.244 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
26-03-21 18:36:33.285 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
26-03-21 18:36:33.288 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
26-03-21 18:36:33.290 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
26-03-21 18:36:33.551 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
26-03-21 18:36:33.552 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5615 ms
26-03-21 18:36:34.269 [main] WARN  org.mongodb.driver.uri - Connection string contains unsupported option 'retrywrites\'.
26-03-21 18:36:34.271 [main] WARN  org.mongodb.driver.uri - Connection string contains unsupported option 'w\'.
26-03-21 18:36:34.275 [main] WARN  org.mongodb.driver.uri - Connection string contains unsupported option 'appname\'.
26-03-21 18:36:34.449 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/23.0.1+11-39"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='Shreyas', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@4fe8f2ae, com.mongodb.Jep395RecordCodecProvider@591be8aa, com.mongodb.KotlinCodecProvider@61808ecd]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.kmbdk.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-by7hcy-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
26-03-21 18:36:35.088 [cluster-ClusterId{value='69be97da1ce8850a0e7af52d', description='null'}-srv-cluster0.kmbdk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.kmbdk.mongodb.net:27017 to client view of cluster
26-03-21 18:36:35.175 [cluster-ClusterId{value='69be97da1ce8850a0e7af52d', description='null'}-srv-cluster0.kmbdk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.kmbdk.mongodb.net:27017 to client view of cluster
26-03-21 18:36:35.209 [cluster-ClusterId{value='69be97da1ce8850a0e7af52d', description='null'}-srv-cluster0.kmbdk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.kmbdk.mongodb.net:27017 to client view of cluster
26-03-21 18:36:35.685 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 1. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-01.kmbdk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-02.kmbdk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-00.kmbdk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
26-03-21 18:36:38.789 [cluster-ClusterId{value='69be97da1ce8850a0e7af52d', description='null'}-cluster0-shard-00-01.kmbdk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.kmbdk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=1730889100, setName='atlas-by7hcy-shard-0', canonicalAddress=cluster0-shard-00-01.kmbdk.mongodb.net:27017, hosts=[cluster0-shard-00-02.kmbdk.mongodb.net:27017, cluster0-shard-00-00.kmbdk.mongodb.net:27017, cluster0-shard-00-01.kmbdk.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.kmbdk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=348, topologyVersion=TopologyVersion{processId=69b2cefe6ac96da2a71e34dd, counter=3}, lastWriteDate=Sat Mar 21 18:36:38 IST 2026, lastUpdateTimeNanos=264989062957000}
26-03-21 18:36:38.789 [cluster-ClusterId{value='69be97da1ce8850a0e7af52d', description='null'}-cluster0-shard-00-00.kmbdk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.kmbdk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=1730865600, setName='atlas-by7hcy-shard-0', canonicalAddress=cluster0-shard-00-00.kmbdk.mongodb.net:27017, hosts=[cluster0-shard-00-02.kmbdk.mongodb.net:27017, cluster0-shard-00-00.kmbdk.mongodb.net:27017, cluster0-shard-00-01.kmbdk.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.kmbdk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=348, topologyVersion=TopologyVersion{processId=69b2c9468fa23da70953cbdb, counter=4}, lastWriteDate=Sat Mar 21 18:36:38 IST 2026, lastUpdateTimeNanos=264989063238700}
